Name,IFNcodes,SpIndex,GrowthForm,TreeType,Hmax,Zmax,a_ash,a_bsh,b_bsh,cr,a_fbt,b_fbt,c_fbt,d_fbt,a_cr,b_1cr,b_2cr,b_3cr,c_1cr,c_2cr,a_cw,b_cw,fHDmin,fHDmax,SLA,r635,pDead,maxFMC,minFMC,LeafDuration,LigninPercent,ParticleDensity,LeafLitterFuelType,Flammability,SAV,HeatContent,k,g,Sgdd,Psi_Extract,WUE,pRootDisc,Gwmin,Gwmax,xylem_kmax,VCstem_c,VCstem_d,VCroot_c,VCroot_d,Vmax298,Al2As,WoodDens,WoodC,RGRmax,Cstoragepmax,Jmax,Narea,PItlp,Zmean
Abies alba,31,0,Tree,Conifer,6800,2000,NA,NA,NA,NA,0.1231,1.4524,0,0,2.36476,-0.763,-0.02285,7.4e-5,-0.01018,-0.27004,1.096365,0.538,100,120,5.76881378481822,1.5135,0.01,135,113,8.17182175398255,20,400,ShortLinear,1,6697,18943,0.35,1,0,-2,6,0,1e-5,0.6,1.299505,3,-3.76516666666667,3,-2,68.49828915568023,17006.455650564956,0.505118212355352,0.494,0.005,0.15,118.76028235874774,0.229987193903526,-2,NA
Acer campestre,76,1,Tree,Deciduous,2500,3000,NA,NA,NA,NA,0.0082,1.7194,0,0,1.99538,-0.649,-0.01963,-1.22e-4,-0.00363,-0.15854,1.518921,0.5285,100,120,15.2370178340025,1.8694,0.01,148,65,0.5073875005170784,20,400,Broadleaved,1,5740,19740,0.43,0.5,200,-2,6,0,1e-5,0.6,0.43,3,-3.019,3,-2,41.86015305553274,8e3,0.627403972916667,0.493,0.005,0.15,78.25566431804829,0.126391748983564,-1.9,0.04
Acer monspessulanum,276,2,Tree,Deciduous,1800,3000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,1.99538,-0.649,-0.01963,-1.22e-4,-0.00363,-0.15854,1.518921,0.5285,100,120,13.5083351833333,2.3729,0.01,101,76,0.47671232876712333,20,400,Broadleaved,1,4039,19825,0.43,0.5,200,-2,6,0,1e-5,0.6,0.534947645333333,3,-3.87125,3,-2,46.245312316578385,3404.9141013497056,0.82870317125,0.493,0.005,0.15,85.14572562493136,0.138344120473538,-2.2,NA
Acer opalus,476,3,Tree,Deciduous,2e3,3000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,1.99538,-0.649,-0.01963,-1.22e-4,-0.00363,-0.15854,1.518921,0.5285,100,120,16.2868929750118,2.2262,0.01,138,65,1,20,400,Broadleaved,1,5740,19740,0.43,0.5,200,-2,6,0,1e-5,0.6,0.18,3,-3.4225,3,-2,60.00643607405335,8e3,0.709779696454545,0.493,0.005,0.15,106.16565903272785,0.200774942465515,NA,NA
Amelanchier ovalis,2,4,Tree,Deciduous,300,2000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,11.3322222222222,3.7098,0.01,92,54,1,20,400,Broadleaved,1,4039,19825,0.4,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-6.873333333,3,-2,100,8e3,0.652,0.493,0.005,0.15,NA,NA,NA,NA
Arbutus unedo,68,5,Tree/Shrub,Evergreen,1200,2000,0.2954,0.3488,0.7893,0.761,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,8.6610373655734,1.6691,0.039,113,68,1.4194444444444416,20,400,Broadleaved,1,4500,19740,0.4,0.5,0,-3,6,0,1e-5,0.6,0.541070936,3,-5.4655,3,-3,55.80467439224104,1993.0818121274588,0.7964897185,0.493,0.005,0.15,99.83446036819787,0.160963564247612,-0.98,NA
Buxus sempervirens,91,6,Tree/Shrub,Evergreen,1600,3000,0.246,0.3382,0.7159,0.892,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,8.50940648606052,1.6675,0.011,87,56,1.3369863013698666,20,400,Broadleaved,1,4386,21435,0.55,0.5,0,-4,6,0,1e-5,0.6,0.15,3,-8,3,-4,64.9998084757334,8e3,0.78,0.493,0.005,0.15,113.60227379518328,0.211929533323944,NA,1.1
Ceratonia siliqua,67,7,Tree,Deciduous,1500,3000,NA,NA,NA,NA,0.1186,1.6259,0,0,0,0,0,0,0,0,0.838618,0.7347,100,120,5.12302479204871,2.2262,0.01,97,67,1.9666666666666668,20,400,Broadleaved,1,5740,19740,0.5,0.5,0,-5,6,0,1e-5,0.6,0.15,3,-5.5483333332500004,3,-5,73.01910678569075,8e3,0.518019884,0.493,0.005,0.15,125.36641993259538,0.277179997684949,-1.91333333333333,NA
Cistus albidus,3101,8,Shrub,Shrub,120,1000,0.5559,0.188,0.4987,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66762722258074,2.5503,0.097,205,45,1,20,400,Broadleaved,1,4039,19506,0.4,0.25,0,-5,6,0,1e-5,0.6,0.1759298855,3,-5.78,3,-5,60.97134802192089,3527.2201588276266,0.181668157819194,0.493,0.005,0.15,107.60985467477896,0.184324732059371,NA,NA
Cornus sanguinea,107,9,Tree/Shrub,Deciduous,500,1000,1.2468,0.9573,0.7095,0.647,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,16.6944899417093,2.5461,0.01,144,92,0.5,20,400,Broadleaved,1,5740,19740,0.4,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-6.365,3,-2,44.071810538949535,8e3,0.598425618249283,0.493,0.005,0.15,81.74379019621075,0.138617260326143,NA,0.04
Corylus avellana,74,10,Tree,Deciduous,2e3,2000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,16.9588620373031,2.2262,0.01,138,65,0.5,20,400,Broadleaved,1,5740,19740,0.4,0.5,0,-2,6,0,1e-5,0.6,0.15,3,-2.218,3,-2,41.20162882548582,8e3,0.59402895875,0.493,0.005,0.15,77.21167593504835,0.128435885957276,NA,0.03
Cytisus scoparius,1167,11,Shrub,Shrub,300,1000,0.4787,0.2781,0.7547,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0128869074154,5.6738,0.01,168,99,1,20,400,Broadleaved,1,4758,21096,0.4,0.25,0,-3,6,0,1e-5,0.6,0.15,3,-3.62,3,-3,58.93242321630656,8e3,0.681251632,0.493,0.005,0.15,104.55398399406054,0.196029611534092,NA,0.4064
Erica arborea,1102,12,Shrub,Shrub,700,1000,0.3121,0.6307,0.738,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.60055149601655,1.9522,0.056,98,51,1,20,400,ShortLinear,1,6690,23000,0.4,0.25,0,-3,6,0,1e-5,0.6,0.73,3,-2.7,3,-3,54.031405192708185,2044.989775051125,0.652,0.493,0.005,0.15,97.14084547136123,0.14416717005,NA,NA
Fagus sylvatica,71,13,Tree,Deciduous,5e3,3000,NA,NA,NA,NA,0.0413,1.4158,-0.0167,0,3.85373,-0.743,-0.02468,1.36e-4,0,-0.38434,0.838618,0.7347,100,120,15.1638313484562,2.3026,0.01,138,86,0.5010664941976491,20,400,Broadleaved,1,5740,19740,0.43,0.25,200,-2,6,0,1e-5,0.6,1.83,3,-2.86,3,-2,48.005819355532694,8e3,0.683214446660063,0.485,0.005,0.15,87.88331224873761,0.150161417026381,-2.10666666666667,NA
Ilex aquifolium,65,14,Tree,Evergreen,2400,3000,NA,NA,NA,NA,0.0313,1.6707,0,0,0,0,0,0,0,0,0.838618,0.7347,100,120,6.82247021669434,1.5998000000000001,0.01,122,118,2.8333333333333335,20,400,Broadleaved,1,5740,19740,0.4,0.5,0,-4,6,0,1e-5,0.6,0.1611514345,3,-4.098,3,-4,67.60777753914549,2072.482322356343,0.684383548,0.493,0.005,0.15,117.45125604944191,0.225115174092381,-2.19,0.03
Juniperus communis,37,15,Tree,Conifer,1900,3000,NA,NA,NA,NA,0.2308,0.792,0,0,0,0,0,0,0,0,0.747441,0.6716,100,120,6.33103742949546,1.4826,0.05,112,62,3,20,400,ShortLinear,1,6697,21888,0.4,1,0,-5,6,0,1e-5,0.6,0.525633333333333,3,-5.82757575754545,3,-5,63.37418995204245,2266.8393782383428,0.59296896825,0.493,0.005,0.15,111.19117397818023,0.19188413573911,NA,0.3556
Juniperus oxycedrus,237,16,Tree,Conifer,1500,3000,NA,NA,NA,NA,0.2308,0.792,0,0,0,0,0,0,0,0,0.747441,0.6716,100,120,5.56733438194961,1.4826,0.05,86,37,1.5123287671232915,20,400,ShortLinear,1,10200,22560,0.4,1,0,-4,6,0,1e-5,0.6,0.325891339,3,-4,3,-4,59.36046914729848,2983.316068018086,0.322715754922995,0.493,0.005,0.15,105.19684837139859,0.154960630684574,NA,1.68
Laurus nobilis,94,17,Tree,Evergreen,2e3,3000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,8.945047600476,2.2262,0.01,97,67,2,20,400,Broadleaved,1,5740,19740,0.4,0.5,0,-4,6,0,1e-5,0.6,0.15,3,-2.34,3,-4,57.008614710536314,8e3,0.67,0.493,0.005,0.15,101.65578259433322,0.168808492413126,-2.845,NA
Ligustrum vulgare,112,18,Shrub,Shrub,1500,1000,0.19,0.1794,0.6636,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3607029181529,2.3351,0.016,140,57,0.5,20,400,Broadleaved,1,4039,19825,0.4,0.25,0,-2,6,0,1e-5,0.6,0.8,3,-4.82458333325,3,-2,51.74169169456487,8e3,0.656436488,0.493,0.005,0.15,93.64260858530913,0.154061756547736,-2.91,0.03
Olea europaea,66,19,Tree/Shrub,Evergreen,2e3,3000,0.267,0.3049,0.76064992,0.75,0.0314,1.5333,0,0,0,0,0,0,0,0,0.838618,0.7347,100,120,4.61499414178081,2.2965,0.01,110,44,1.95,20,400,Broadleaved,1,2400,19500,0.4,0.5,0,-4,6,0,1e-5,0.6,0.14,3,-7.425,3,-4,75.75181708072516,8e3,0.80633,0.493,0.005,0.15,129.32914674143538,0.322068610346374,-2.6,NA
Phillyrea angustifolia,113,20,Shrub,Shrub,400,2000,0.5237,0.2797,0.760093339,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25999999999999,2.2804,0.04,91,78,4,20,400,Broadleaved,1,4039,19825,0.4,0.25,0,-4,6,0,1e-5,0.6,0.15,3,-6.802,3,-4,74.46056924096465,8e3,0.557857929,0.493,0.005,0.15,127.45947197400616,0.312653688799463,-3.03,NA
Phillyrea latifolia,8,21,Tree/Shrub,Evergreen,1e3,2000,0.524,0.2797,0.7601,0.75,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,7.67252144833889,1.9176,0.01,97,55,2,20,400,Broadleaved,1,5740,19740,0.4,0.5,0,-4,6,0,1e-5,0.6,0.40837685,3,-6.775,3,-4,64.9734719124546,1698.9496647707786,0.7,0.493,0.005,0.15,113.56328579827493,0.209357214680418,NA,NA
Pinus halepensis,24,22,Tree,Conifer,3500,3000,NA,NA,NA,NA,0.0568,1.5212,-0.0249,0,1.50576,-0.706481,-0.078039,1.82e-4,-0.007262,0,0.64153,0.731,100,120,4.4767204034256904,1.9642,0.1,115,86,3,20,400,ShortLinear,1,6050,22150,0.5,1,0,-2,6,0,1e-5,0.6,0.15,3,-4.64533333325,3,-2,71.67290765645743,1317.5230566534915,0.60868991228971,0.496,0.005,0.15,123.4059784343365,0.266450738894663,-3,NA
Pinus nigra,25,23,Tree,Conifer,5030,2000,NA,NA,NA,NA,0.0488,1.6208,-0.0284,0,2.26205,0,-0.01934,0,-0.01373,-0.44909,0.507631,0.7699,100,120,4.48203005712107,1.5677,0.01,133,105,3.804534123395317,20,400,ShortLinear,1,4640,19661,0.5,1,0,-2,6,0,1e-5,0.6,0.407,3,-3.48,3,-2,68.92055222035876,1272.264631043257,0.615729638888889,0.507,0.005,0.15,119.38008529484064,0.230799686638098,-1.8,1.016
Pinus pinaster,26,24,Tree,Conifer,4e3,2000,NA,NA,NA,NA,0.1431,1.3622,-0.0861,0.0262,1.50576,-0.706481,-0.078039,1.82e-4,-0.007262,0,0.388952,0.8307,100,120,1.77547047647169,1.6631,0.01,150,90,4.25,20,400,LongLinear,1,5030,21220,0.5,1,0,-2,6,0,1e-5,0.6,0.352,3,-3.489,3,-2,63.149861829228,1013.1712259371834,0.518355603921568,0.51,0.005,0.15,110.85771472448526,0.563100824337943,NA,NA
Pinus pinea,23,25,Tree,Conifer,3e3,2000,NA,NA,NA,NA,0.0396,1.6869,-0.0673,0.0188,1.50576,-0.706481,-0.078039,1.82e-4,-0.007262,0,0.747441,0.6716,100,120,4.23914827751203,1.6631,0.01,122,88,2.92,20,400,LongLinear,1,5780,20742,0.5,1,0,-2,6,0,1e-5,0.6,0.35,3,-3.995,3,-2,71.94881123881103,1615.508885298869,0.590056933110345,0.507,0.005,0.15,123.8082267207528,0.273056398767763,NA,NA
Pinus radiata,28,26,Tree,Conifer,4e3,2000,NA,NA,NA,NA,0.9294,0.7532,-0.0286,0,1.50576,-0.706481,-0.078039,1.82e-4,-0.007262,0,0.841895,0.6353,100,120,7.10783756545197,1.5056,0.01,128,115,2,20,400,LongLinear,1,4758,21481,0.5,1,0,-2,6,0,1e-5,0.6,0.15,3,-2,3,-2,66.48325350260505,2409.638552619446,0.494285714285714,0.496,0.005,0.15,115.79446028088849,0.217746146402266,NA,0.762
Pinus sylvestris,21,27,Tree,Conifer,5e3,2000,NA,NA,NA,NA,0.0768,1.4106,-0.0388,0.0082,1.50576,-0.706481,-0.078039,1.82e-4,-0.007262,0,0.747441,0.6716,100,120,5.09714664576865,1.7956,0.01,133,110,2.592226597656475,20,400,ShortLinear,1,5840,20484,0.5,1,0,-2,6,0,1e-5,0.6,0.447944484933333,3,-3.18518874454545,3,-2,71.23659538149853,1598.1802208488646,0.544617782822664,0.505,0.005,0.15,122.76938127668619,0.257248372211056,-1.975,0.508
Pistacia lentiscus,111,28,Shrub,Shrub,800,2000,1.976,1.8604,0.6519,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72162072118266,2.2694,0.113,108,81,0.9416666666666668,20,400,Broadleaved,1,7030,19900,0.4,0.25,0,-4,6,0,1e-5,0.6,0.631333333333333,3,-4.763541666625,3,-4,75.91724310580892,3558.7188612099644,0.612359777,0.493,0.005,0.15,129.56832301977633,0.321419082475534,-2.95,NA
Pistacia terebinthus,93,29,Tree/Shrub,Evergreen,800,2000,0.267,0.3049,0.76064992,0.75,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,10.6854419220922,1.7526,0.01,129,87,0.4739726027397258,20,400,Broadleaved,1,5740,19740,0.4,0.25,0,-2,6,0,1e-5,0.6,0.15,3,-8.422,3,-2,66.49575628831678,8e3,0.683488526,0.493,0.005,0.15,115.81290446585598,0.223950611256652,NA,NA
Quercus coccifera,105,30,Shrub,Shrub,1200,2000,0.757,0.6388,0.5609,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5291770275401,2.2895,0.109,98,43,1.1500000000000001,20,400,Broadleaved,1,4141,21100,0.55,0.25,0,-4,6,0,1e-5,0.6,0.29,3,-6.94333333333333,3,-4,67.80619394156561,8e3,0.147821186949374,0.493,0.005,0.15,117.74314965502703,0.223079210215339,-3.96,NA
Quercus faginea,44,31,Tree,Deciduous,2500,3000,NA,NA,NA,NA,0.0197,1.9675,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,8.03569264551502,1.7049,0.01,100,78,0.56986301369863,20,400,Broadleaved,1,4039,19825,0.55,0.5,200,-3,6,0,1e-5,0.6,0.15,3,-2.002118806,3,-3,68.98837098785074,8e3,0.793875,0.493,0.005,0.15,119.4795762861702,0.236242039709193,-3.16,NA
Quercus pubescens,243,32,Tree,Deciduous,2500,3000,NA,NA,NA,NA,0.0405,1.4617,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,11.0759690950909,2.2981,0.01,131,84,0.5643835616438359,20,400,Broadleaved,1,5740,19740,0.55,0.5,200,-3,6,0,1e-5,0.6,1.65,3,-2.916,3,-3,52.4946662504241,8e3,0.864,0.48,0.005,0.15,94.79557198184767,0.156345574381163,-3.515,NA
Quercus ilex,45/245,33,Tree/Shrub,Evergreen,3e3,3000,1.534,0.6134,0.7558,0.974,0.0631,1.545,-0.0053,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,6.09398493496452,1.8059,0.05,81,66,2.1479452054794583,20,400,Broadleaved,1,4050,19300,0.55,0.5,0,-3,6,0,1e-5,0.6,0.7735834408,3,-3.735,3,-3,68.60857497053836,2512.5628140703516,0.87566180011307,0.493,0.005,0.15,118.92221749903665,0.231554777336202,-3.015,NA
Quercus petraea,42,34,Tree,Deciduous,4500,3000,NA,NA,NA,NA,0.0362,1.6103,-0.033,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.56819,0.7974,100,120,13.4948012214106,1.9363,0.01,138,84,0.6666666666666666,20,400,Broadleaved,1,5740,19740,0.55,0.5,0,-3,6,0,1e-5,0.6,0.15,3,-3.15439124314286,3,-3,50.50921157894514,8e3,0.722248305084746,0.483,0.005,0.15,91.74985448114518,0.155853291913569,-2.624,0.3
Quercus pyrenaica,43,35,Tree,Deciduous,2e3,3000,NA,NA,NA,NA,0.043,1.6009,-0.006,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.746993,0.7257,100,120,4.67222832385098,1.9363,0.01,130,81,0.44931506849315084,20,400,Broadleaved,1,5740,19400,0.55,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-2,3,-2,78.45836381311409,8e3,0.825,0.493,0.005,0.15,133.23242634575124,0.361569087861043,-2.68,NA
Quercus robur,41,36,Tree,Deciduous,6e3,3000,NA,NA,NA,NA,0.0259,1.7314,0,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.0716,0.6563,100,120,8.83976783882721,1.9363,0.01,139,114,0.6255332470988242,20,400,Broadleaved,1,5740,19740,0.55,0.5,200,-2,6,0,1e-5,0.6,0.15,3,-2.804,3,-2,71.18530090716742,8e3,0.609091605957312,0.493,0.005,0.15,122.69450144926734,0.250247058031537,-2.58333333333333,0.3
Quercus suber,46,37,Tree,Evergreen,2e3,3000,NA,NA,NA,NA,0.0322,1.3645,-0.0099,0,1.98539,-0.552,-0.01386,-1.11e-4,-0.00685,-0.20101,0.4473,0.7918,100,120,6.85024574540546,1.9363,0.01,113,88,1.271232876712325,20,400,Broadleaved,1,4039,20447,0.55,0.5,0,-2,6,0,1e-5,0.6,0.15,3,-5.2,3,-2,68.46558858380203,8e3,0.838148148148148,0.493,0.005,0.15,118.71225970911617,0.231544904336047,-3.08,NA
Rhamnus alaternus,4,38,Tree,Evergreen,500,2000,NA,NA,NA,NA,0.0709,1.512,-0.0183,0.0057,0,0,0,0,0,0,0.838618,0.7347,100,120,6.61747168126331,2.4751,0.085,111,80,2,20,400,Broadleaved,1,4039,19825,0.4,0.5,0,-4,6,0,1e-5,0.6,0.15,3,-8.0973333335,3,-4,84.25653171050867,8e3,0.737081847,0.493,0.005,0.15,141.52616074351343,0.371617255821366,-2.69,NA
Rhododendron ferrugineum,108,39,Shrub,Shrub,150,1000,1.2468,0.9573,0.709497425,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.798,3.293,0.01,150,93,2,20,400,Broadleaved,1,4386,20062,0.4,0.25,0,-2,6,0,1e-5,0.6,0.364,3,-2.61,3,-2,100,8e3,0.43,0.493,0.005,0.15,NA,NA,-1.59,NA
Rosmarinus officinalis,114,40,Shrub,Shrub,200,1000,0.452,2.0306,0.9704,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91046010577643,3.1147,0.135,159,67,0.91,20,400,ShortLinear,2,4860,22700,0.4,0.25,0,-5,6,0,1e-5,0.6,0.15,3,-9.401,3,-5,70.52640767159455,8e3,0.179505188709794,0.493,0.005,0.15,121.7319105703893,0.249904292011725,-2.01,1.36
Taxus baccata,14,41,Tree,Conifer,2900,3000,NA,NA,NA,NA,0.1989,1.3805,-0.0363,0.0066,0,0,0,0,0,0,0.747441,0.6716,100,120,7.21761641802437,1.6631,0.01,122,93,2.8333333333333335,20,400,ShortLinear,1,6697,21888,0.4,0.5,0,-2,6,0,1e-5,0.6,0.32,3,-7.35966666666667,3,-2,74.10920140814457,8e3,0.638319142888889,0.493,0.005,0.15,126.94984992856888,0.274190243063887,NA,0.4064
